A  US Equity,2015/11/16,2015/10/02,2015/12/30,0.5,0.472
AAPL  US Equity,2015/10/27,2015/09/14,2015/12/09,1.96,1.878
ABBV  US Equity,2015/10/30,2015/09/17,2015/12/14,1.13,1.08071
ADP  US Equity,2015/10/28,2015/09/15,2015/12/10,0.68,0.652
ADT  US Equity,2015/11/10,2015/09/28,2015/12/23,0.51,0.477778
AEE  US Equity,2015/11/06,2015/09/24,2015/12/21,1.41,1.297
AEP  US Equity,2015/10/22,2015/09/09,2015/12/04,1.06,1.00235
AES  US Equity,2015/11/05,2015/09/23,2015/12/18,0.39,0.359
AET  US Equity,2015/10/29,2015/09/16,2015/12/11,1.9,1.767
AFL  US Equity,2015/10/27,2015/09/14,2015/12/09,1.56,1.482
AGN  US Equity,2015/11/04,2015/09/22,2015/12/17,3.48,3.17667
AIZ  US Equity,2015/10/27,2015/09/14,2015/12/09,1.71,1.56875
AKAM  US Equity,2015/10/27,2015/09/14,2015/12/09,0.62,0.574545
ALL  US Equity,2015/11/02,2015/09/18,2015/12/15,1.52,1.315
ALLE  US Equity,2015/10/29,2015/09/16,2015/12/11,0.92,0.777778
ALXN  US Equity,2015/10/29,2015/09/16,2015/12/11,1.16,1.0075
AMGN  US Equity,2015/10/28,2015/09/15,2015/12/10,2.72,2.37462
ANTM  US Equity,2015/10/28,2015/09/15,2015/12/10,2.73,2.325
ATVI  US Equity,2015/11/02,2015/09/18,2015/12/15,0.21,0.153889
AVY  US Equity,2015/10/29,2015/09/16,2015/12/11,0.87,0.844
BA  US Equity,2015/10/21,2015/09/08,2015/12/03,2.52,2.19833
BAC  US Equity,2015/10/14,2015/08/31,2015/11/25,0.345,0.325652
BAX  US Equity,2015/10/27,2015/09/14,2015/12/09,0.41,0.294
BIIB  US Equity,2015/10/21,2015/09/08,2015/12/03,4.48,3.76611
BK  US Equity,2015/10/20,2015/09/04,2015/12/02,0.74,0.712
BLK  US Equity,2015/10/14,2015/08/31,2015/11/25,5,4.531
BLL  US Equity,2015/10/29,2015/09/16,2015/12/11,1.1,0.95375
BMY  US Equity,2015/10/27,2015/09/14,2015/12/09,0.39,0.3485
BSX  US Equity,2015/10/28,2015/09/15,2015/12/10,0.24,0.225417
BWA  US Equity,2015/10/29,2015/09/16,2015/12/11,0.73,0.701
BXLT  US Equity,2015/10/29,2015/09/16,2015/12/11,0.56,0.488
BXP  US Equity,2015/10/29,2015/09/16,2015/12/11,1.41,1.365
CAH  US Equity,2015/11/02,2015/09/18,2015/12/15,1.38,1.103
CB  US Equity,2015/10/20,2015/09/04,2015/12/02,2.74,2.36783
CBG  US Equity,2015/10/27,2015/09/14,2015/12/09,0.51,0.457
CBS  US Equity,2015/11/03,2015/09/21,2015/12/16,0.88,0.805
CCE  US Equity,2015/10/29,2015/09/16,2015/12/11,0.84,0.815
CI  US Equity,2015/11/06,2015/09/24,2015/12/21,2.28,2.197
CINF  US Equity,2015/10/27,2015/09/14,2015/12/09,1.04,0.68
CLX  US Equity,2015/11/02,2015/09/18,2015/12/15,1.32,1.184
