YUM  US Equity,2015/10/06,2015/08/21,2015/11/17,1,1.035
YHOO  US Equity,2015/10/20,2015/09/04,2015/12/02,0.15,0.159394
XL  US Equity,2015/10/26,2015/09/11,2015/12/08,0.23,0.424
WM  US Equity,2015/10/27,2015/09/14,2015/12/09,0.67,0.712
WFM  US Equity,2015/11/04,2015/09/22,2015/12/17,0.3,0.344483
VFC  US Equity,2015/10/23,2015/09/10,2015/12/07,1.07,1.117
TROW  US Equity,2015/10/22,2015/09/09,2015/12/04,1.06,1.141
STT  US Equity,2015/10/23,2015/09/10,2015/12/07,1.16,1.239
SRCL  US Equity,2015/10/22,2015/09/09,2015/12/04,1.08,1.185
SCG  US Equity,2015/10/29,2015/09/16,2015/12/11,0.93,0.96
ROK  US Equity,2015/11/10,2015/09/28,2015/12/23,1.57,1.78
PNC  US Equity,2015/10/14,2015/08/31,2015/11/25,1.7193,1.78448
PHM  US Equity,2015/10/22,2015/09/09,2015/12/04,0.33,0.429474
PCG  US Equity,2015/10/28,2015/09/15,2015/12/10,0.84,0.955
NWSA  US Equity,2015/11/05,2015/09/23,2015/12/18,0.05,0.058571
NRG  US Equity,2015/11/04,2015/09/22,2015/12/17,0.7084,0.773
NFLX  US Equity,2015/10/14,2015/08/31,2015/11/25,0.07,0.075514
MTB  US Equity,2015/10/19,2015/09/03,2015/12/01,1.93,2.004
MS  US Equity,2015/10/19,2015/09/03,2015/12/01,0.3402,0.626957
MLM  US Equity,2015/11/03,2015/09/21,2015/12/16,2.04,2.171
MJN  US Equity,2015/10/22,2015/09/09,2015/12/04,0.8,0.8375
MET  US Equity,2015/11/04,2015/09/22,2015/12/17,0.62,0.758889
MAT  US Equity,2015/10/15,2015/09/01,2015/11/27,0.71,0.794615
M  US Equity,2015/11/11,2015/09/29,2015/12/24,0.36,0.533684
LNC  US Equity,2015/10/28,2015/09/15,2015/12/10,1.11,1.52353
LM  US Equity,2015/10/30,2015/09/17,2015/12/14,0.58,0.663
KMI  US Equity,2015/10/21,2015/09/08,2015/12/03,0.158,0.180588
KHC  US Equity,2015/11/05,2015/09/23,2015/12/18,0.44,0.628182
JWN  US Equity,2015/11/12,2015/09/30,2015/12/28,0.57,0.723
JPM  US Equity,2015/10/13,2015/08/28,2015/11/24,1.2897,1.37517
HP  US Equity,2015/11/12,2015/09/30,2015/12/28,0.04,0.050379
HOG  US Equity,2015/10/20,2015/09/04,2015/12/02,0.69,0.783
HIG  US Equity,2015/10/26,2015/09/11,2015/12/08,0.86,0.99125
GS  US Equity,2015/10/15,2015/09/01,2015/11/27,2.6422,3
FLIR  US Equity,2015/10/28,2015/09/15,2015/12/10,0.3977,0.412
FB  US Equity,2015/11/04,2015/09/22,2015/12/17,0.31,0.519512
F  US Equity,2015/10/27,2015/09/14,2015/12/09,0.45,0.465
ETR  US Equity,2015/11/02,2015/09/18,2015/12/15,1.9,2.024
EQIX  US Equity,2015/10/28,2015/09/15,2015/12/10,2.59,3.06429
EMR  US Equity,2015/11/03,2015/09/21,2015/12/16,0.93,0.968
