YHOO  US Equity,2015/04/21,2015/03/06,2015/06/03,0.15,0.182
XEL  US Equity,2015/04/30,2015/03/17,2015/06/12,0.46,0.493
WYNN  US Equity,2015/04/28,2015/03/13,2015/06/10,0.7,1.189
WY  US Equity,2015/05/01,2015/03/18,2015/06/15,0.19,0.249231
WM  US Equity,2015/04/29,2015/03/16,2015/06/11,0.45,0.4775
WHR  US Equity,2015/04/28,2015/03/13,2015/06/10,2.14,2.373
URBN  US Equity,2015/05/18,2015/04/02,2015/06/30,0.25,0.302222
UNP  US Equity,2015/04/23,2015/03/10,2015/06/05,1.3,1.372
TSO  US Equity,2015/04/22,2015/03/09,2015/06/04,0.98,1.82833
TDC  US Equity,2015/05/07,2015/03/24,2015/06/19,0.3,0.418462
SYY  US Equity,2015/05/04,2015/03/19,2015/06/16,0.4,0.413333
SO  US Equity,2015/04/29,2015/03/16,2015/06/11,0.56,0.578571
SNDK  US Equity,2015/04/15,2015/03/02,2015/05/28,0.62,0.6612
SHW  US Equity,2015/04/16,2015/03/03,2015/05/29,1.38,1.44
SE  US Equity,2015/05/06,2015/03/23,2015/06/18,0.41,0.426364
SCHW  US Equity,2015/04/15,2015/03/02,2015/05/28,0.22,0.231176
PWR  US Equity,2015/04/30,2015/03/17,2015/06/12,0.31,0.405
PNW  US Equity,2015/05/01,2015/03/18,2015/06/15,0.14,0.18
PHM  US Equity,2015/04/23,2015/03/10,2015/06/05,0.15,0.201579
OXY  US Equity,2015/05/06,2015/03/23,2015/06/18,0.04,0.041375
ORCL  US Equity,2015/06/17,2015/05/04,2015/07/30,0.78,0.865
OKE  US Equity,2015/05/05,2015/03/20,2015/06/17,0.29,0.358
NWSA  US Equity,2015/05/05,2015/03/20,2015/06/17,0.05,0.071625
NTAP  US Equity,2015/05/20,2015/04/07,2015/07/02,0.65,0.722581
NFX  US Equity,2015/05/05,2015/03/20,2015/06/17,0.02,0.0808
NFLX  US Equity,2015/04/15,2015/03/02,2015/05/28,0.0543,0.090114
NAVI  US Equity,2015/04/21,2015/03/06,2015/06/03,0.48,0.5
MU  US Equity,2015/06/25,2015/05/12,2015/08/07,0.54,0.572308
MTB  US Equity,2015/04/20,2015/03/05,2015/06/02,1.65,1.7616
MOS  US Equity,2015/04/09,2015/02/24,2015/05/21,0.7,0.742105
MNST  US Equity,2015/05/07,2015/03/24,2015/06/19,0.62,0.684
MMM  US Equity,2015/04/23,2015/03/10,2015/06/05,1.85,1.92462
MLM  US Equity,2015/04/30,2015/03/17,2015/06/12,0.07,0.096
MCD  US Equity,2015/04/22,2015/03/09,2015/06/04,1.01,1.0575
M  US Equity,2015/05/13,2015/03/30,2015/06/25,0.56,0.615556
LOW  US Equity,2015/05/20,2015/04/07,2015/07/02,0.7,0.7372
LNC  US Equity,2015/04/29,2015/03/16,2015/06/11,1.35,1.48812
LLL  US Equity,2015/04/30,2015/03/17,2015/06/12,1.43,1.54182
L  US Equity,2015/05/04,2015/03/19,2015/06/16,0.27,0.705
KSU  US Equity,2015/04/21,2015/03/06,2015/06/03,1.03,1.077
