AAL  US Equity,2015/07/24,2015/06/10,2015/09/04,2.62,2.59667
AAP  US Equity,2015/08/13,2015/06/30,2015/09/25,2.27,2.25737
AAPL  US Equity,2015/07/21,2015/06/05,2015/09/01,1.85,1.80972
ABBV  US Equity,2015/07/24,2015/06/10,2015/09/04,1.08,1.06067
ADI  US Equity,2015/08/18,2015/07/06,2015/09/30,0.77,0.752
ADS  US Equity,2015/07/23,2015/06/09,2015/09/03,3.32,3.24524
ADT  US Equity,2015/07/29,2015/06/15,2015/09/10,0.49,0.491111
AFL  US Equity,2015/07/28,2015/06/12,2015/09/09,1.5,1.524
AGN  US Equity,2015/08/06,2015/06/23,2015/09/18,4.41,4.38118
AKAM  US Equity,2015/07/28,2015/06/12,2015/09/09,0.57,0.5815
ALLE  US Equity,2015/07/30,2015/06/16,2015/09/11,0.71,0.705714
AMAT  US Equity,2015/08/13,2015/06/30,2015/09/25,0.33,0.331
AME  US Equity,2015/08/04,2015/06/19,2015/09/16,0.64,0.636
AMG  US Equity,2015/07/28,2015/06/12,2015/09/09,3.08,3.017
AMP  US Equity,2015/07/22,2015/06/08,2015/09/02,2.33,2.275
AN  US Equity,2015/07/22,2015/06/08,2015/09/02,1,1.01818
AON  US Equity,2015/07/31,2015/06/17,2015/09/14,1.31,1.29333
APH  US Equity,2015/07/22,2015/06/08,2015/09/02,0.58,0.576
ARG  US Equity,2015/07/28,2015/06/12,2015/09/09,1.16,1.154
AVB  US Equity,2015/07/27,2015/06/11,2015/09/08,1.87,1.838
AWK  US Equity,2015/08/05,2015/06/22,2015/09/17,0.68,0.673571
BBT  US Equity,2015/07/16,2015/06/02,2015/08/27,0.69,0.698
BDX  US Equity,2015/08/06,2015/06/23,2015/09/18,2.05,2.009
BHI  US Equity,2015/07/21,2015/06/05,2015/09/01,-0.14,-0.139355
BIIB  US Equity,2015/07/24,2015/06/10,2015/09/04,4.22,4.10056
BSX  US Equity,2015/07/23,2015/06/09,2015/09/03,0.22,0.214167
BXP  US Equity,2015/07/29,2015/06/15,2015/09/10,1.36,1.337
CAH  US Equity,2015/07/30,2015/06/16,2015/09/11,1,0.986
CAT  US Equity,2015/07/23,2015/06/09,2015/09/03,1.27,1.2615
CBG  US Equity,2015/07/29,2015/06/15,2015/09/10,0.42,0.428
CBS  US Equity,2015/08/05,2015/06/22,2015/09/17,0.74,0.723793
CELG  US Equity,2015/07/23,2015/06/09,2015/09/03,1.23,1.23
CERN  US Equity,2015/08/04,2015/06/19,2015/09/16,0.52,0.5164
CHK  US Equity,2015/08/05,2015/06/22,2015/09/17,-0.11,-0.111667
CL  US Equity,2015/07/30,2015/06/16,2015/09/11,0.7,0.704
CMA  US Equity,2015/07/17,2015/06/03,2015/08/28,0.73,0.745484
CMCSA  US Equity,2015/07/23,2015/06/09,2015/09/03,0.84,0.842222
CME  US Equity,2015/07/30,2015/06/16,2015/09/11,0.95,0.924
CMG  US Equity,2015/07/21,2015/06/05,2015/09/01,4.45,4.4296
CMI  US Equity,2015/07/28,2015/06/12,2015/09/09,2.62,2.554
