GPS  US Equity,2015/05/21,2015/04/08,2015/07/06,0.56,0.556
SWN  US Equity,2015/04/23,2015/03/10,2015/06/05,0.22,0.218438
RTN  US Equity,2015/04/23,2015/03/10,2015/06/05,1.36,1.351
ARG  US Equity,2015/04/30,2015/03/17,2015/06/12,1.15,1.143
SIG  US Equity,2015/05/28,2015/04/14,2015/07/10,1.62,1.61182
AME  US Equity,2015/04/29,2015/03/16,2015/06/11,0.63,0.627273
AMG  US Equity,2015/04/28,2015/03/13,2015/06/10,2.91,2.89778
SBUX  US Equity,2015/04/23,2015/03/10,2015/06/05,0.33,0.3288
TRV  US Equity,2015/04/21,2015/03/06,2015/06/03,2.53,2.522
CERN  US Equity,2015/05/07,2015/03/24,2015/06/19,0.45,0.448636
ESRX  US Equity,2015/04/28,2015/03/13,2015/06/10,1.1,1.09667
AZO  US Equity,2015/05/26,2015/04/10,2015/07/08,9.57,9.54143
UNM  US Equity,2015/04/29,2015/03/16,2015/06/11,0.89,0.887647
XL  US Equity,2015/04/29,2015/03/16,2015/06/11,0.75,0.748125
FRT  US Equity,2015/05/07,2015/03/24,2015/06/19,1.26,1.25688
KEY  US Equity,2015/04/16,2015/03/03,2015/05/29,0.2653,0.264667
APD  US Equity,2015/04/30,2015/03/17,2015/06/12,1.55,1.54688
HCN  US Equity,2015/05/08,2015/03/25,2015/06/22,1.04,1.03824
CL  US Equity,2015/04/30,2015/03/17,2015/06/12,0.66,0.659
CMA  US Equity,2015/04/17,2015/03/04,2015/06/01,0.73,0.729333
CAG  US Equity,2015/06/30,2015/05/15,2015/08/12,0.59,0.59
HCA  US Equity,2015/05/05,2015/03/20,2015/06/17,1.35,1.35
RF  US Equity,2015/04/21,2015/03/06,2015/06/03,0.18,0.18
NSC  US Equity,2015/04/29,2015/03/16,2015/06/11,1,1.001
AVB  US Equity,2015/04/27,2015/03/12,2015/06/09,1.75,1.7525
PNR  US Equity,2015/04/21,2015/03/06,2015/06/03,0.65,0.651
TEL  US Equity,2015/04/22,2015/03/09,2015/06/04,1,1.00167
USB  US Equity,2015/04/15,2015/03/02,2015/05/28,0.76,0.761379
GGP  US Equity,2015/04/27,2015/03/12,2015/06/09,0.32,0.320588
AFL  US Equity,2015/04/28,2015/03/13,2015/06/10,1.54,1.543
ZBH  US Equity,2015/04/30,2015/03/17,2015/06/12,1.58,1.58312
PG  US Equity,2015/04/23,2015/03/10,2015/06/05,0.92,0.922
FITB  US Equity,2015/04/21,2015/03/06,2015/06/03,0.37,0.370968
VFC  US Equity,2015/05/01,2015/03/18,2015/06/15,0.67,0.672083
EQR  US Equity,2015/04/28,2015/03/13,2015/06/10,0.79,0.792941
GPC  US Equity,2015/04/21,2015/03/06,2015/06/03,1.05,1.054
PX  US Equity,2015/04/29,2015/03/16,2015/06/11,1.43,1.43588
GWW  US Equity,2015/04/16,2015/03/03,2015/05/29,3.1,3.113
DHR  US Equity,2015/04/23,2015/03/10,2015/06/05,0.93,0.934
INTC  US Equity,2015/04/14,2015/02/27,2015/05/27,0.4281,0.43
